"Year","Game_Type","Week","Date_Time","Favorite","Fav_id","Fav_abv","Underdog","Dog_id","Dog_abv","Line","Total","Fav_Home","Dog_Home","DATE","TIME","DATETIME","Game_id"
2007,"reg","1","9/9 4:15 ET","San Diego",17,"LAC","Chicago",6,"CHI",-7,42.5,"Y","N",2007-09-09,"4:15 PM",2007-09-09 16:15:00,"20070909_6_17"
2007,"reg","1","9/9 1:00 ET","Philadelphia",26,"PHI","Green Bay",12,"GB",-3.5,42,"N","Y",2007-09-09,"1:00 PM",2007-09-09 13:00:00,"20070909_12_26"
2007,"reg","1","9/9 1:00 ET","Denver",10,"DEN","Buffalo",4,"BUF",-3,37.5,"N","Y",2007-09-09,"1:00 PM",2007-09-09 13:00:00,"20070909_4_10"
2007,"reg","1","9/9 1:00 ET","St. Louis",18,"LAR","Carolina",5,"CAR",-1.5,43,"Y","N",2007-09-09,"1:00 PM",2007-09-09 13:00:00,"20070909_5_18"
2007,"reg","1","9/9 1:00 ET","Pittsburgh",27,"PIT","Cleveland",8,"CLE",-5.5,36,"N","Y",2007-09-09,"1:00 PM",2007-09-09 13:00:00,"20070909_8_27"
2007,"reg","1","9/9 1:00 ET","New England",21,"NE","NY Jets",24,"NYJ",-6.5,41,"N","Y",2007-09-09,"1:00 PM",2007-09-09 13:00:00,"20070909_21_24"
2007,"reg","1","9/9 1:00 ET","Houston",13,"HOU","Kansas City",16,"KC",-3,37.5,"Y","N",2007-09-09,"1:00 PM",2007-09-09 13:00:00,"20070909_13_16"
2007,"reg","1","9/9 1:00 ET","Washington",32,"WAS","Miami",19,"MIA",-3,34.5,"Y","N",2007-09-09,"1:00 PM",2007-09-09 13:00:00,"20070909_19_32"
2007,"reg","1","9/9 1:00 ET","Jacksonville",15,"JAX","Tennessee",31,"TEN",-7.5,39,"Y","N",2007-09-09,"1:00 PM",2007-09-09 13:00:00,"20070909_15_31"
2007,"reg","1","9/9 1:00 ET","Minnesota",20,"MIN","Atlanta",2,"ATL",-3,35.5,"Y","N",2007-09-09,"1:00 PM",2007-09-09 13:00:00,"20070909_2_20"
2007,"reg","1","9/6 8:30 ET","Indianapolis",14,"IND","New Orleans",22,"NO",-5.5,53.5,"Y","N",2007-09-06,"8:30 PM",2007-09-06 20:30:00,"20070906_14_22"
2007,"post","SB","2/4 6:18 ET","Indianapolis",14,"IND","Chicago",6,"CHI",-6.5,47.5,"N","N",2007-02-04,"6:18 PM",2007-02-04 18:18:00,"20070204_6_14"
2007,"post","Conf","1/21 6:30 ET","Indianapolis",14,"IND","New England",21,"NE",-3.5,47,"Y","N",2007-01-21,"6:30 PM",2007-01-21 18:30:00,"20070121_14_21"
2007,"post","Conf","1/21 3:00 ET","Chicago",6,"CHI","New Orleans",22,"NO",-2.5,43,"Y","N",2007-01-21,"3:00 PM",2007-01-21 15:00:00,"20070121_6_22"
2007,"post","Div","1/14 4:30 ET","San Diego",17,"LAC","New England",21,"NE",-4.5,46,"Y","N",2007-01-14,"4:30 PM",2007-01-14 16:30:00,"20070114_17_21"
2007,"post","Div","1/14 1:00 ET","Chicago",6,"CHI","Seattle",29,"SEA",-9,37,"Y","N",2007-01-14,"1:00 PM",2007-01-14 13:00:00,"20070114_6_29"
2007,"post","Div","1/13 8:00 ET","New Orleans",22,"NO","Philadelphia",26,"PHI",-5.5,49,"Y","N",2007-01-13,"8:00 PM",2007-01-13 20:00:00,"20070113_22_26"
2007,"post","Div","1/13 4:30 ET","Baltimore",3,"BAL","Indianapolis",14,"IND",-4,41.5,"Y","N",2007-01-13,"4:30 PM",2007-01-13 16:30:00,"20070113_3_14"
2007,"post","WC","1/7 4:30 ET","Philadelphia",26,"PHI","NY Giants",23,"NYG",-6.5,46.5,"Y","N",2007-01-07,"4:30 PM",2007-01-07 16:30:00,"20070107_23_26"
2007,"post","WC","1/7 1:00 ET","New England",21,"NE","NY Jets",24,"NYJ",-9.5,39,"Y","N",2007-01-07,"1:00 PM",2007-01-07 13:00:00,"20070107_21_24"
2007,"post","WC","1/6 8:00 ET","Seattle",29,"SEA","Dallas",9,"DAL",-2,48.5,"Y","N",2007-01-06,"8:00 PM",2007-01-06 20:00:00,"20070106_9_29"
